Cyc	2
a Semantic Network	2
End-to-End Memory Networks	2
CLARIN-DK	2
a data-to-speech system	2
Markov Random Fields	2
Adversarial Neural Networks	2
Japanese Text Input System	2
A Wordnet based E-Learning Tool	2
VerbNet	2
Sanskrit Wordnet	2
a Natural Language Understanding System	2
Stack-LSTMs	2
Neural Machine Translation Architectures	2
an Operations Environment	2
Software Applications	2
A Dialogue System	2
Shared Memory Parallel Machines	2
Dialect MT	2
Interpretable Word Embeddings	2
ESL	2
a reductionistic parser	2
NP Alignment	2
Semantic Role Labeling Systems	2
the Transformer Architecture	2
LSTM-Based Dependency Parsing	2
the DOP Model	2
Generative Adversarial Networks	2
A Probabilistic Chart Parser	2
PROMT Systems	2
a Multilingual MT System	2
NMF	2
Internet	2
Multiple Classifiers	2
SGML	2
Attentive Recurrent Neural Networks	2
A Graphical User Interface	2
Linked WordNets	2
A Chinese Word Segmentation System	2
An Integrated Architecture	2
Long Short Term Memory Networks	2
A Generalized Framework	2
Finite State Machines	2
the Mercury Flight Reservation System	2
Sheffield Systems	2
Sentiment Analyzer	2
Deep Belief Networks	2
NLP Tools	2
SoNLP-DP System	2
A Deep Learning System	2
ALEP	2
Buckwalter-based Lookup Tool	2
A Flexible Pragmatics-Driven Language Generator	2
a Spoken Dialogue Agent	2
SLS Program	2
Weakly Supervised Attention Networks	2
dialogue systems	2
A Sentiment Analyzer	2
A Stochastic Parser	2
Task-Oriented Conversational Agents	2
Wet Lab Protocols	2
Piecewise Convolutional Neural Networks	2
a semi-immersive Command and Control environment	2
XMG	2
OpenNMT	2
a Natural Language Interface	2
Recursive Neural Network	2
Attention-Based Convolutional Neural Network	2
Gated Recursive Neural Network	2
a LFG-Parser	2
PCA	2
A Real-Time Spoken-Language System	2
The KIT-LIMSI Translation System	2
Graph Embeddings	2
Named Entity Recognition System	2
Multilingual NMT	2
ParFDA	2
Prefix-to-Prefix Framework	2
Data-to-Text Systems	2
the Core Language Engine	2
Capsule Network	2
Community Question Answering Systems	2
Vision-Language Interface	2
End-to-End Neural Networks	2
Multilingual Sentence Embeddings	2
A Graphical Interface	2
a Multilayer Perceptron	2
Multi-space Variational Encoder-Decoders	2
Dual Attention Networks	2
Open-Domain Dialogue Systems	2
the mwetoolkit	2
A Text Input Front-end Processor	2
Domain Adapted Word Embeddings	2
Simple Parser	2
Large Scale Collocation Data and Their Application	2
Text Classifiers	2
a Toolkit	2
A Speech Translation System	2
Machine Aided Error-Correction Environment	2
Semantic Parsers	2
Siamese LSTM	2
Multi-Task Deep Neural Networks	2
A DP based Search Algorithm	2
Multi-sense Word Embeddings	2
MEDLINE	2
Siamese Recurrent Networks	2
A Phonological Interface	2
a Machine Translation Environment	2
An Annotation Tool	2
Bayesian Networks	2
UCSYNLP-Lab Machine Translation Systems	2
Lattice LSTM	2
Dialog System	2
Stack LSTMs	2
Dynamic Bayesian Networks	2
Finite-State Machines	2
CRF Autoencoders	2
An Open-Source Toolkit	2
